                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0695,                 3.8754,                 4.2925,                0.00329,                0.98551,                 0.0146,                0.00435,                 2.6064,                 3.7718,                 4.1589,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.2482,                  3.742,                 4.2202,                0.00329,                0.98551,                0.01699,                0.00503,                 2.6064,                 3.7727,                 4.1588,              5.802e-05,              5.802e-05,              5.802e-05
                      3,                 2.9357,                 3.6943,                 4.2713,                0.00329,                0.98551,                0.02162,                0.00588,                  2.606,                  3.773,                 4.1583,               9.34e-05,               9.34e-05,               9.34e-05
                      4,                 3.0423,                 3.7521,                 4.1945,                0.00329,                0.98551,                0.07257,                0.02331,                 2.6053,                 3.7728,                 4.1576,             0.00012614,             0.00012614,             0.00012614
                      5,                 3.0886,                 3.7853,                  4.181,                0.00329,                0.98551,                0.14311,                0.03497,                 2.6035,                 3.7732,                 4.1564,             0.00015624,             0.00015624,             0.00015624
                      6,                 2.9972,                 3.7188,                 4.1887,                 0.0033,                0.98551,                0.04825,                0.01409,                  2.601,                 3.7736,                 4.1549,              0.0001837,              0.0001837,              0.0001837
                      7,                 2.9951,                 3.6751,                 4.1737,                0.00329,                0.98551,                0.03302,                0.01062,                 2.5984,                  3.773,                 4.1528,             0.00020852,             0.00020852,             0.00020852
                      8,                 2.8853,                 3.6153,                 4.1695,                0.00329,                0.98551,                0.02917,                0.00777,                 2.5945,                 3.7723,                 4.1501,              0.0002307,              0.0002307,              0.0002307
                      9,                 3.0301,                 3.6876,                 4.1922,                 0.0033,                0.98551,                0.02446,                0.00673,                  2.592,                 3.7718,                 4.1486,             0.00025024,             0.00025024,             0.00025024
                     10,                 2.8108,                 3.7463,                  4.145,                0.00331,                0.98551,                0.03217,                0.00864,                 2.5877,                 3.7703,                 4.1459,             0.00026714,             0.00026714,             0.00026714
                     11,                 2.9358,                 3.7005,                 4.1123,                 0.0033,                0.98551,                 0.0286,                0.00776,                 2.5833,                 3.7684,                  4.143,              0.0002814,              0.0002814,              0.0002814
                     12,                 3.1867,                 3.5369,                 4.1033,                 0.0033,                0.98551,                0.02308,                0.00678,                 2.5762,                 3.7679,                 4.1392,             0.00029302,             0.00029302,             0.00029302
                     13,                 3.0523,                 3.5349,                 4.1007,                 0.0033,                0.98551,                0.02559,                0.00743,                 2.5687,                 3.7662,                 4.1346,               0.000302,               0.000302,               0.000302
                     14,                 2.9903,                 3.4778,                 4.0729,                0.00329,                0.98551,                0.02402,                0.00722,                 2.5594,                 3.7654,                 4.1294,             0.00030834,             0.00030834,             0.00030834
                     15,                 2.8108,                 3.5429,                 4.0299,                0.00329,                0.98551,                0.03714,                0.01047,                  2.549,                 3.7643,                 4.1235,             0.00031204,             0.00031204,             0.00031204
                     16,                 2.7752,                 3.4219,                 4.0103,                0.00329,                0.98551,                0.02965,                 0.0083,                 2.5389,                 3.7621,                 4.1172,              0.0003131,              0.0003131,              0.0003131
                     17,                 2.9844,                 3.5667,                 4.0008,                0.00329,                0.98551,                 0.0452,                0.01248,                 2.5262,                  3.758,                 4.1102,             0.00031152,             0.00031152,             0.00031152
                     18,                 3.1288,                 3.4213,                 3.9998,                0.00329,                0.98551,                0.27048,                0.06072,                 2.5136,                 3.7542,                  4.103,              0.0003073,              0.0003073,              0.0003073
                     19,                  2.671,                 3.3627,                 3.9358,                0.00329,                0.98551,                0.30057,                0.06365,                 2.5022,                 3.7548,                 4.0952,             0.00030044,             0.00030044,             0.00030044
                     20,                 2.8085,                 3.4434,                 3.9579,                0.00329,                0.98551,                0.22855,                0.05541,                 2.4936,                 3.7541,                 4.0893,             0.00029094,             0.00029094,             0.00029094
                     21,                 2.4101,                 3.8767,                 3.9087,                0.00329,                0.98551,                0.03137,                0.01048,                 2.4907,                 3.7538,                 4.0873,              0.0002788,              0.0002788,              0.0002788
                     22,                 2.2842,                 3.9428,                 3.8455,                0.00329,                0.98551,                0.02585,                0.00887,                 2.4841,                 3.7538,                 4.0821,             0.00026402,             0.00026402,             0.00026402
                     23,                  2.167,                 3.7202,                 3.6847,                0.00329,                0.98551,                0.02506,                0.00924,                 2.4751,                 3.7533,                 4.0744,              0.0002466,              0.0002466,              0.0002466
                     24,                 2.3138,                 3.7468,                 3.8449,                0.00329,                0.98551,                0.02219,                0.00775,                 2.4668,                 3.7503,                 4.0683,             0.00022654,             0.00022654,             0.00022654
                     25,                 2.0727,                 3.5687,                 3.6789,                0.00329,                0.98551,                0.02226,                0.00791,                 2.4574,                 3.7459,                 4.0583,             0.00020384,             0.00020384,             0.00020384
                     26,                 2.0638,                  3.676,                 3.7787,                0.00329,                0.98551,                 0.0191,                0.00688,                  2.453,                 3.7398,                 4.0534,              0.0001785,              0.0001785,              0.0001785
                     27,                 2.1621,                 3.6432,                 3.6839,                0.00329,                0.98551,                0.01935,                0.00701,                 2.4471,                 3.7304,                 4.0486,             0.00015052,             0.00015052,             0.00015052
                     28,                 2.2537,                 3.6403,                 3.7529,                0.00329,                0.98551,                0.01935,                0.00701,                 2.4471,                 3.7304,                 4.0486,              0.0001199,              0.0001199,              0.0001199
                     29,                 2.2812,                 3.5577,                 3.7378,                0.00329,                0.98551,                0.01924,                0.00712,                 2.4396,                 3.7211,                 4.0442,              8.664e-05,              8.664e-05,              8.664e-05
                     30,                 2.0342,                 3.6786,                 3.7244,                0.00329,                0.98551,                0.01929,                0.00719,                  2.432,                 3.7116,                 4.0404,              5.074e-05,              5.074e-05,              5.074e-05
