                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95237,                 2.9863,                 1.4237,                0.73069,                 6.1787,                 1.2998,                0.00328,                0.98276,                0.01736,                0.00421,                 1.2345,                 3.6966,                 1.9726,                0.87242,                 10.919,                 1.8941,                  2e-05,                  2e-05,                  2e-05
                      2,                0.59505,                   2.81,                 1.1174,                0.48407,                  5.997,                 1.0842,                0.00333,                      1,                 0.0326,                0.01392,                0.78192,                 3.3111,                  1.399,                0.61311,                 10.563,                 1.4383,              5.802e-05,              5.802e-05,              5.802e-05
                      3,                0.45961,                 2.6271,                 1.0384,                0.43797,                 5.7587,                 1.0455,                0.00333,                      1,                0.47542,                0.41186,                0.46238,                 3.0668,                 1.0245,                0.41919,                 10.309,                 1.0556,               9.34e-05,               9.34e-05,               9.34e-05
                      4,                0.44314,                 2.4175,                0.98582,                0.41232,                 5.4809,                0.96808,                0.00333,                      1,                0.48524,                0.40461,                0.47219,                 3.0567,                 1.0591,                0.40557,                 10.288,                 1.0703,             0.00012614,             0.00012614,             0.00012614
                      5,                0.73408,                 2.3101,                 1.3116,                0.66401,                 6.0956,                 1.2653,                0.00333,                      1,                0.51977,                 0.4314,                0.48446,                 3.0558,                 1.0791,                0.42066,                 10.297,                 1.1255,             0.00015624,             0.00015624,             0.00015624
                      6,                0.52669,                  2.124,                 1.0737,                0.51794,                 5.7581,                 1.0749,                0.00333,                      1,                0.62708,                0.53327,                0.51399,                 3.0417,                  1.131,                0.44009,                  10.29,                 1.1624,              0.0001837,              0.0001837,              0.0001837
                      7,                0.63769,                 1.8736,                 1.1155,                0.55449,                 4.5897,                 1.0422,                0.00333,                      1,                0.66655,                0.55313,                0.59644,                  3.037,                 1.1912,                0.50532,                 10.333,                 1.2117,             0.00020852,             0.00020852,             0.00020852
                      8,                0.71839,                 1.7674,                 1.2161,                0.69975,                   5.22,                 1.1979,                0.00333,                      1,                0.63152,                0.50905,                0.66858,                 3.0642,                 1.2642,                0.58422,                 10.412,                  1.264,              0.0002307,              0.0002307,              0.0002307
                      9,                0.66973,                  1.651,                 1.1429,                0.66621,                 4.5788,                 1.0538,                0.00333,                      1,                0.60429,                0.49463,                0.65342,                 3.0509,                 1.2504,                0.57234,                 10.399,                 1.2584,             0.00025024,             0.00025024,             0.00025024
                     10,                0.52126,                 1.4849,                 1.0778,                0.50009,                 4.2384,                 1.0101,                0.00333,                      1,                0.58769,                 0.4876,                0.63732,                 3.0527,                 1.2432,                0.55915,                 10.372,                 1.2364,             0.00026714,             0.00026714,             0.00026714
